millis,type,message
999158392,WARN,Disabling MessageSender transmissions
999159490,INFO,Completed analysis m: 5062 t: 1 e: 21
999159515,INFO,Enabling MessageSender transmissions
999209175,INFO,Starting analysis m: 5062 t: 1 e: 22
999209447,WARN,Disabling MessageSender transmissions
999210577,INFO,Completed analysis m: 5062 t: 1 e: 22
999210602,INFO,Enabling MessageSender transmissions
999260239,INFO,Starting analysis m: 5062 t: 1 e: 23
999260514,WARN,Disabling MessageSender transmissions
999261646,INFO,Completed analysis m: 5062 t: 1 e: 23
999261671,INFO,Enabling MessageSender transmissions
999311316,INFO,Starting analysis m: 5062 t: 1 e: 24
999311597,WARN,Disabling MessageSender transmissions
999312738,INFO,Completed analysis m: 5062 t: 1 e: 24
999312762,INFO,Enabling MessageSender transmissions
999362381,INFO,Starting analysis m: 5062 t: 1 e: 25
999362656,WARN,Disabling MessageSender transmissions
999363780,INFO,Completed analysis m: 5062 t: 1 e: 25
999363809,INFO,Enabling MessageSender transmissions
999376109,INFO,powerData | solV: 5.54
999376132,INFO,powerData | solI: 0.07
999376152,INFO,powerData | battV: 4.08
999376173,INFO,powerData | battI: 0.01
999376191,INFO,powerData | busV: 4.08
999376211,INFO,powerData | busI: 0.05
999376232,INFO,powerData | BQ status reg: 172
999376252,INFO,powerData | Fault reg: 0
999376273,INFO,powerData | Charge status: 2
999376293,INFO,powerData | DPM status: 1
999413434,INFO,Starting analysis m: 5062 t: 1 e: 26
999413712,WARN,Disabling MessageSender transmissions
999414837,INFO,Completed analysis m: 5062 t: 1 e: 26
999414859,INFO,Enabling MessageSender transmissions
999464499,INFO,Starting analysis m: 5062 t: 1 e: 27
999464779,WARN,Disabling MessageSender transmissions
999465900,INFO,Completed analysis m: 5062 t: 1 e: 27
