GPS_Epoch_Time(s),lat(deg),lat(min*1e5),long(deg),long(min*1e5)
1610743935.20,37,5670307,-122,-4704909
1610743995.60,37,5670251,-122,-4704851
1610744056.00,37,5670336,-122,-4704773
1610744116.40,37,5670374,-122,-4704656
1610744176.80,37,5670453,-122,-4704572
1610744237.20,37,5670485,-122,-4704625
1610744297.60,37,5670510,-122,-4704718
1610744358.00,37,5670465,-122,-4704728
1610744418.40,37,5670406,-122,-4704819
1610744478.40,37,5670368,-122,-4704813
1610744539.20,37,5670320,-122,-4704788
1610744599.60,37,5670370,-122,-4704777
1610744660.00,37,5670343,-122,-4704767
1610744720.40,37,5670347,-122,-4704677
1610744780.80,37,5670329,-122,-4704550
1610744841.20,37,5670404,-122,-4704372
1610744901.60,37,5670475,-122,-4704264
1610744962.00,37,5670516,-122,-4704321
1610745022.40,37,5670556,-122,-4704231
1610745082.80,37,5670622,-122,-4704268
1610745143.20,37,5670635,-122,-4704286
1610745203.60,37,5670678,-122,-4704311
1610745264.00,37,5670696,-122,-4704276
1610745324.40,37,5670699,-122,-4704287
1610745384.80,37,5670674,-122,-4704329
1610745445.20,37,5670602,-122,-4704355
1610745505.60,37,5670597,-122,-4704391
1610745566.00,37,5670506,-122,-4704432
1610745626.40,37,5670507,-122,-4704418
1610745686.80,37,5670462,-122,-4704444
1610745747.20,37,5670443,-122,-4704376
1610745807.60,37,5670462,-122,-4704409
1610745868.00,37,5670503,-122,-4704470
1610745928.40,37,5670490,-122,-4704498
1610745988.80,37,5670507,-122,-4704505
1610746049.20,37,5670542,-122,-4704454
1610746109.60,37,5670514,-122,-4704393
1610746170.00,37,5670516,-122,-4704483
1610746230.40,37,5670421,-122,-4704440
1610746290.80,37,5670451,-122,-4704505
1610746351.20,37,5670452,-122,-4704452
1610746411.60,37,5670445,-122,-4704397
1610746472.00,37,5670439,-122,-4704342
1610746532.40,37,5670459,-122,-4704480
1610746592.80,37,5670434,-122,-4704554
1610746653.20,37,5670400,-122,-4704552
1610746713.60,37,5670390,-122,-4704591
1610746774.00,37,5670390,-122,-4704675
1610746834.40,37,5670403,-122,-4704622
1610746894.80,37,5670366,-122,-4704754
1610746955.20,37,5670363,-122,-4704712
1610747015.60,37,5670368,-122,-4704839
1610747076.00,37,5670292,-122,-4704874
1610747136.40,37,5670357,-122,-4704952
1610747196.80,37,5670357,-122,-4704927
1610747257.20,37,5670360,-122,-4705075
1610747317.60,37,5670314,-122,-4705126
1610747378.00,37,5670318,-122,-4705083
1610747438.40,37,5670277,-122,-4705368
1610747498.80,37,5670275,-122,-4705310
1610747559.20,37,5670189,-122,-4705412
1610747619.60,37,5670211,-122,-4705520
1610747680.00,37,5670193,-122,-4705546
1610747740.40,37,5670223,-122,-4705578
1610747800.80,37,5670246,-122,-4705557
1610747861.20,37,5670248,-122,-4705648
1610747921.60,37,5670383,-122,-4705774
1610747982.00,37,5670341,-122,-4705898
1610748042.40,37,5670396,-122,-4705981
1610748102.80,37,5670437,-122,-4706012
1610748163.20,37,5670445,-122,-4706016
1610748223.60,37,5670486,-122,-4705894
1610748283.60,37,5670472,-122,-4705895
1610748344.00,37,5670526,-122,-4705915
1610748404.40,37,5670511,-122,-4706104
1610748464.80,37,5670421,-122,-4706014
1610748525.20,37,5670520,-122,-4705943
1610748585.60,37,5670509,-122,-4705932
1610748646.00,37,5670432,-122,-4706024
1610748706.40,37,5670508,-122,-4706139
1610748766.80,37,5670499,-122,-4706172
1610748827.20,37,5670523,-122,-4706115
1610748887.60,37,5670549,-122,-4706208
1610748948.00,37,5670532,-122,-4706215
1610749008.40,37,5670572,-122,-4706282
1610749068.80,37,5670683,-122,-4706229
1610749129.20,37,5670791,-122,-4706286
1610749189.60,37,5670774,-122,-4706258
1610749250.00,37,5670837,-122,-4706406
1610749310.40,37,5670801,-122,-4706388
1610749370.80,37,5670814,-122,-4706471
1610749431.20,37,5670745,-122,-4706538
1610749491.60,37,5670703,-122,-4706538
1610749552.00,37,5670646,-122,-4706487
1610749612.40,37,5670578,-122,-4706470
1610749672.80,37,5670525,-122,-4706441
1610749733.20,37,5670425,-122,-4706379
1610749793.60,37,5670348,-122,-4706476
1610749854.00,37,5670356,-122,-4706352
1610749914.40,37,5670350,-122,-4706265
1610749974.80,37,5670332,-122,-4706261
1610750035.20,37,5670327,-122,-4706281
1610750095.60,37,5670366,-122,-4706216
1610750156.00,37,5670350,-122,-4706098
1610750216.40,37,5670323,-122,-4706074
1610750276.80,37,5670355,-122,-4706168
1610750337.20,37,5670304,-122,-4706170
1610750397.60,37,5670255,-122,-4706102
1610750458.00,37,5670310,-122,-4706038
1610750518.40,37,5670283,-122,-4706013
1610750578.80,37,5670294,-122,-4705914
1610750639.20,37,5670229,-122,-4706032
1610750699.60,37,5670276,-122,-4705840
1610750760.00,37,5670290,-122,-4705970
1610750820.40,37,5670296,-122,-4705991
1610750880.80,37,5670336,-122,-4705963
1610750941.20,37,5670375,-122,-4705935
1610751001.60,37,5670365,-122,-4706163
1610751062.00,37,5670427,-122,-4706203
1610751122.40,37,5670486,-122,-4706300
1610751182.80,37,5670510,-122,-4706215
1610751243.20,37,5670575,-122,-4706276
1610751303.60,37,5670591,-122,-4706227
1610751364.00,37,5670548,-122,-4706220
1610751424.40,37,5670560,-122,-4706208
1610751484.80,37,5670562,-122,-4706147
1610751545.20,37,5670505,-122,-4706182
1610751605.60,37,5670485,-122,-4706295
1610751666.00,37,5670485,-122,-4706179
1610751726.40,37,5670443,-122,-4706164
1610751786.80,37,5670469,-122,-4706145
1610751847.20,37,5670421,-122,-4706161
1610751907.60,37,5670454,-122,-4706162
1610751968.00,37,5670471,-122,-4706187
1610752028.40,37,5670535,-122,-4706226
1610752088.40,37,5670569,-122,-4706255
1610752148.80,37,5670651,-122,-4706265
1610752209.20,37,5670717,-122,-4706263
1610752269.60,37,5670783,-122,-4706312
1610752330.00,37,5670815,-122,-4706203
